Price,Rating,city,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Company,Model,Kilometres_travelled,year,month
261499.0,4.3,3686,First ,petrol,manual,RTOAP28,27/3/2021,Comp,maruti,alto 800 lxi,57525.0,2013,1
486580.0,4.1,3686,First ,petrol + cng,,RTOTS08,18/4/2021,Zero_Dep,hyundai,new santro 1.1 magna cng mt,27743.0,2018,11
336299.0,4.5,3686,First ,petrol,manual,RTOTS07,1/6/2021,NA,maruti,alto k10 vxi ,37328.0,2017,6
432199.0,4.5,3686,First ,petrol,manual,RTOTS15,20/9/2021,Third_party,maruti,celerio x vxi,31973.0,2018,8
282899.0,4.3,3686,First ,petrol + lpg,manual,RTOAP28,9/9/2021,Comp,hyundai,santro xing gls lpg,54368.0,2011,6
343899.0,4.2,3686,Second ,petrol,manual,RTOTS12,,Expired,maruti,wagon r 1.0 vxi,59094.0,2016,2
299799.0,4.3,3686,First ,petrol,manual,RTOTS07,7/9/2021,Comp,maruti,alto 800 lxi,38472.0,2015,4
318599.0,4.2,3686,Second ,petrol,manual,RTOAP28,31/12/2021,Comp,hyundai,i10 sportz 1.2 kappa2,68764.0,2011,4
151899.0,4,3686,First ,petrol,manual,RTOAP11,20/12/2021,Expired,maruti,zen estilo lxi,45920.0,2007,7
409175.0,4.3,3686,First ,petrol,manual,RTOTS07,4/1/2022,Third_party,maruti,wagon r 1.0 vxi,53570.0,2015,12
272142.0,4.2,3686,Second ,petrol,manual,RTOAP29,2/12/2021,Comp,hyundai,i10 magna 1.2,66427.0,2009,3
694799.0,4.5,3686,First ,petrol,automatic,RTOTS07,30/10/2021,Third_party,maruti,swift zxi amt,39712.0,2018,10
371470.0,4.1,3686,First ,petrol,manual,RTOTS08,,Expired,hyundai,eon magna plus,25439.0,2017,11
279599.0,3.8,3686,First ,petrol + lpg,manual,RTOAP28,28/9/2021,Comp,hyundai,i10 magna 1.1 lpg,87828.0,2012,9
271699.0,3.9,3686,Second ,diesel,manual,RTOAP28,19/6/2021,Expired,ford,figo 1.4 titanium duratorq,90368.0,2013,1
497400.0,4.4,3686,First ,petrol,manual,RTOTS08,31/12/2021,Zero_Dep,maruti,wagon r 1.0 vxi,27797.0,2017,12
719672.0,4.4,3686,First ,petrol,automatic,RTOTS10,27/7/2021,Third_party,maruti,baleno zeta 1.2 k12 amt ,29197.0,2018,2
494999.0,4.5,3686,First ,petrol,manual,RTOTS10,16/3/2021,Zero_Dep,maruti,ignis delta 1.2 k12 ,31925.0,2017,3
671205.0,4.7,3686,First ,petrol,,RTOTS08,6/2/2022,Expired,ford,freestyle titanium 1.2 ti-vct mt,16141.0,2019,1
452753.0,4.4,3686,Second ,diesel,manual,RTODL5C,,Expired,maruti,s cross zeta 1.3,74127.0,2015,8
343740.0,4.1,3686,First ,petrol,manual,RTOTS08,3/7/2021,Comp,hyundai,eon era plus,40681.0,2016,3
560885.0,4.5,3686,Second ,petrol,manual,RTOTS09,29/9/2020,Zero_Dep,maruti,baleno sigma 1.2 k12,28156.0,2015,12
320699.0,4,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,wagon r 1.0 vxi,70993.0,2015,9
538199.0,4.3,3686,First ,petrol,manual,RTOTS07,18/4/2021,Comp,maruti,swift dzire vxi 1.2 bs iv,78713.0,2015,3
687299.0,4.5,3686,First ,diesel,manual,RTOTS07,8/8/2021,Zero_Dep,maruti,baleno alpha ddis 190 ,61489.0,2017,5
382227.0,4.5,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,alto 800 lxi,34886.0,2019,3
543099.0,4.4,3686,First ,petrol,manual,RTOTS10,16/2/2021,Zero_Dep,maruti,swift vxi,42546.0,2018,2
633180.0,4.4,3686,Second ,petrol,automatic,RTOTS10,,Expired,hyundai,grand i10 asta 1.2 at vtvt,23738.0,2015,4
248899.0,4.3,3686,Second ,petrol + cng,manual,RTOAP29,17/5/2021,Comp,maruti,wagon r 1.0 lxi,70903.0,2010,5
745853.0,4.9,3686,First ,petrol,manual,RTOTS07,23/2/2021,Comp,maruti,swift vxi,14598.0,2019,1
604106.0,4.6,3686,First ,petrol,manual,RTOTS07,10/10/2020,Zero_Dep,volkswagen,polo comfortline 1.2l petrol,27276.0,2017,9
287165.0,3.7,3686,First ,petrol,manual,RTOAP09,,Expired,hyundai,i20 magna 1.2 vtvt,84373.0,2009,1
734309.0,4.5,3686,First ,petrol,manual,RTOTS10,26/9/2021,Comp,maruti,dzire vxi,35440.0,2017,5
210099.0,4,3686,Second ,petrol + lpg,manual,RTOAP29,,Expired,hyundai,santro xing gls,82748.0,2009,11
244899.0,3.9,3686,Second ,petrol + cng,manual,RTOAP29,,Expired,maruti,wagon r 1.0 lxi cng,114593.0,2011,12
534199.0,4.2,3686,Second ,diesel,manual,RTOTS10,27/6/2021,Comp,ford,ecosport 1.5titanium tdci,80990.0,2014,6
239642.0,4.1,3686,Second ,petrol,manual,RTOAP29,10/3/2021,Expired,maruti,alto k10 lxi,81759.0,2012,2
616999.0,4.3,3686,First ,diesel,automatic,RTOTS09,,Expired,volkswagen,vento highline tdi at,88336.0,2016,6
291099.0,3.6,3686,Second ,petrol,automatic,RTOAP09,,Expired,honda,accord 2.4 at i vtec,163326.0,2009,9
883298.0,4.9,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,baleno alpha 1.2 k12 ,25811.0,2018,7
349499.0,4.3,3686,First ,petrol,manual,RTOTS15,12/12/2021,Expired,maruti,alto 800 lxi,42143.0,2018,2
244180.0,4.1,3686,Second ,petrol,manual,RTOAP28,23/5/2020,Comp,maruti,alto 800 lxi,66047.0,2013,4
262399.0,4.1,3686,Second ,petrol,manual,RTOAP09,21/11/2021,Expired,hyundai,i10 magna 1.2 kappa2,116983.0,2011,4
305199.0,4.3,3686,First ,petrol,manual,RTOAP09,,Expired,hyundai,i10 sportz 1.2 kappa2,114748.0,2012,1
183099.0,3.7,3686,First ,petrol + lpg,manual,RTOAP11,,Expired,maruti,wagon r duo lxi lpg,197377.0,2009,8
215499.0,4,3686,First ,petrol,manual,RTOAP28,16/2/2021,Comp,maruti,wagon r lxi,110417.0,2010,1
391099.0,4,3686,First ,diesel,manual,RTOAP28,29/1/2021,Comp,maruti,swift zdi,164757.0,2012,1
578899.0,3.7,3686,First ,diesel,manual,RTOTS15,,Expired,maruti,swift dzire vdi bs iv,97036.0,2015,1
481799.0,4.2,3686,First ,diesel,manual,RTOAP31,23/7/2021,Comp,maruti,swift vdi abs,98101.0,2015,5
257071.0,3.7,3686,Second ,diesel,manual,RTOAP23,,Expired,renault,fluence 1.5 e2,112136.0,2013,1
456699.0,4.3,3686,First ,petrol,manual,RTOTS09,1/11/2021,Zero_Dep,maruti,swift dzire vxi 1.2 bs iv,93657.0,2015,5
200199.0,4.1,3686,First ,petrol,manual,RTOAP29,5/11/2021,Comp,hyundai,i10 sportz 1.2,155505.0,2009,10
289399.0,4.4,3686,First ,diesel,manual,RTODL10,27/6/2021,Comp,volkswagen,polo highline1.2l diesel,114877.0,2014,1
984999.0,4.5,3686,First ,diesel,,RTOTS09,13/6/2021,Zero_Dep,hyundai,creta 1.6 sx crdi,76226.0,2016,5
401699.0,4,3686,Third ,diesel,manual,RTOAP29,9/6/2021,Third_party,honda,amaze 1.5 smt i dtec,85851.0,2013,4
451799.0,4.3,3686,Second ,diesel,manual,RTOTS08,29/3/2021,Third_party,maruti,swift vdi abs,119742.0,2015,2
666999.0,4.5,3686,First ,petrol,manual,RTOTS07,21/11/2021,Zero_Dep,maruti,baleno alpha 1.2 k12 ,26704.0,2017,11
1188855.0,4,3686,First ,diesel,automatic,RTOTS08,19/9/2021,Comp,hyundai,creta 1.6 crdi sx plus auto,108963.0,2016,8
639030.0,4.3,3686,First ,petrol,automatic,RTOTS07,,Expired,honda,city vx cvt petrol,137243.0,2016,9
374299.0,4,3686,First ,diesel,manual,RTOAP28,26/2/2021,Comp,maruti,swift vdi,146225.0,2012,2
316000.0,4.2,3686,Second ,petrol + cng,manual,RTOAP09,9/9/2020,Third_party,maruti,wagon r 1.0 lxi cng,66711.0,2012,7
420000.0,4.3,3686,First ,petrol,automatic,RTOTS09,13/10/2020,ZeroDepreciation,maruti,celerio vxi amt,16695.0,2015,6
50000.0,3.7,3686,First ,petrol,manual,RTOTN51,23/10/2021,Comp,tata,nano lx,34609.0,2012,5
70000.0,3.5,3686,Second ,petrol,manual,RTOAP29,,Expired,maruti,800 ac,40267.0,2006,9
136000.0,3.3,3686,Second ,diesel,manual,RTOAP16,,Expired,mahindra,bolero slx,42510.0,2006,2
170000.0,4.2,3686,First ,petrol,manual,RTOAP11,19/11/2021,3rdParty,maruti,alto lxi,18984.0,2009,10
155000.0,3.4,3686,Second ,petrol + lpg,manual,RTOAP11,,Expired,maruti,swift vxi 1.3,1.0,2005,11
436000.0,4.9,3686,First ,petrol,manual,RTOTS13,,Expired,maruti,eeco 5 str with ac plushtr,2716.0,2020,2
220000.0,3.5,3686,Second ,petrol,manual,RTOAP09,9/8/2021,3rdParty,maruti,swift vxi,48256.0,2006,4
70000.0,3.2,3686,First ,petrol,manual,RTOAP13,,Expired,maruti,alto lxi,76810.0,2005,5
175000.0,4.3,3686,First ,petrol,automatic,RTOTS07,8/9/2021,Comp,tata,nano twist xta,17870.0,2015,7
110000.0,3.3,3686,Second ,petrol,manual,RTOAP29,,Expired,maruti,wagon r lxi,64366.0,2004,9
380000.0,4.2,3686,Second ,petrol,manual,RTOAP12,,Expired,hyundai,i20 sportz 1.2 vtvt,29669.0,2013,8
360000.0,4.5,3686,First ,petrol,manual,RTOTS08,6/8/2021,Comp,maruti,celerio zxi ,20953.0,2014,7
291000.0,4.2,3686,Second ,petrol + lpg,manual,RTOAP07,28/9/2021,Comprehensive,hyundai,i10 magna 1.1 lpg,42957.0,2012,7
351000.0,4.2,3686,First ,petrol,manual,RTOMH04,21/12/2020,Comp,maruti,swift zxi,56966.0,2012,11
120000.0,3.1,3686,Second ,diesel,manual,RTOAP12,,Expired,toyota,qualis fs b1,76520.0,2004,12
350000.0,4.2,3686,First ,petrol,manual,RTOAP09,15/11/2021,3rdParty,honda,city v mt petrol,48267.0,2010,9
190000.0,4.1,3686,First ,petrol + lpg,manual,RTOAP28,17/11/2021,Third_party,hyundai,santro xing gls lpg,42913.0,2009,2
320000.0,4.8,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,alto k10 lxi cng,9783.0,2015,2
200000.0,3.7,3686,Second ,petrol,manual,RTOAP29,30/11/2020,Expired,hyundai,accent executive,64822.0,2010,9
201000.0,3.5,3686,Third ,petrol,manual,RTOAP10,,Expired,honda,civic 1.8s mt,56403.0,2006,8
190000.0,4.5,3686,First ,petrol,manual,RTOTS07,12/10/2021,Zero_Dep,datsun,redi go t (o),30604.0,2016,8
